Year,MonthNumber,Week,Date
2012,1,1,1/1/12 0:00
2012,1,1,1/2/12 0:00
2012,1,1,1/3/12 0:00
2012,1,1,1/4/12 0:00
2012,1,1,1/5/12 0:00
2012,1,1,1/6/12 0:00
2012,1,1,1/7/12 0:00
2012,1,2,1/8/12 0:00
2012,1,2,1/9/12 0:00
2012,1,2,1/10/12 0:00
2012,1,2,1/11/12 0:00
2012,1,2,1/12/12 0:00
2012,1,2,1/13/12 0:00
2012,1,2,1/14/12 0:00
2012,1,3,1/15/12 0:00
2012,1,3,1/16/12 0:00
2012,1,3,1/17/12 0:00
2012,1,3,1/18/12 0:00
2012,1,3,1/19/12 0:00
2012,1,3,1/20/12 0:00
2012,1,3,1/21/12 0:00
2012,1,4,1/22/12 0:00
2012,1,4,1/23/12 0:00
2012,1,4,1/24/12 0:00
2012,1,4,1/25/12 0:00
2012,1,4,1/26/12 0:00
2012,1,4,1/27/12 0:00
2012,1,4,1/28/12 0:00
2012,1,5,1/29/12 0:00
2012,1,5,1/30/12 0:00
2012,1,5,1/31/12 0:00
2012,2,5,2/1/12 0:00
2012,2,5,2/2/12 0:00
2012,2,5,2/3/12 0:00
2012,2,5,2/4/12 0:00
2012,2,6,2/5/12 0:00
2012,2,6,2/6/12 0:00
2012,2,6,2/7/12 0:00
2012,2,6,2/8/12 0:00
2012,2,6,2/9/12 0:00
2012,2,6,2/10/12 0:00
2012,2,6,2/11/12 0:00
2012,2,7,2/12/12 0:00
2012,2,7,2/13/12 0:00
2012,2,7,2/14/12 0:00
2012,2,7,2/15/12 0:00
2012,2,7,2/16/12 0:00
2012,2,7,2/17/12 0:00
2012,2,7,2/18/12 0:00
2012,2,8,2/19/12 0:00
2012,2,8,2/20/12 0:00
2012,2,8,2/21/12 0:00
2012,2,8,2/22/12 0:00
2012,2,8,2/23/12 0:00
2012,2,8,2/24/12 0:00
2012,2,8,2/25/12 0:00
2012,2,9,2/26/12 0:00
2012,2,9,2/27/12 0:00
2012,2,9,2/28/12 0:00
2012,2,9,2/29/12 0:00
2012,3,9,3/1/12 0:00
2012,3,9,3/2/12 0:00
2012,3,9,3/3/12 0:00
2012,3,10,3/4/12 0:00
2012,3,10,3/5/12 0:00
2012,3,10,3/6/12 0:00
2012,3,10,3/7/12 0:00
2012,3,10,3/8/12 0:00
2012,3,10,3/9/12 0:00
2012,3,10,3/10/12 0:00
2012,3,11,3/11/12 0:00
2012,3,11,3/12/12 0:00
2012,3,11,3/13/12 0:00
2012,3,11,3/14/12 0:00
2012,3,11,3/15/12 0:00
2012,3,11,3/16/12 0:00
2012,3,11,3/17/12 0:00
2012,3,12,3/18/12 0:00
2012,3,12,3/19/12 0:00
2012,3,12,3/20/12 0:00
2012,3,12,3/21/12 0:00
