timeStampHash,timeStamp,ostype,bankCode,ccBankCode
1.62839E+12,8/8/2021 3:04,2,AHG,
1.62839E+12,8/8/2021 3:04,2,AUG,
1.62839E+12,8/8/2021 3:04,2,AUG,
1.62844E+12,8/8/2021 15:26,2,GNIA,
1.62841E+12,8/8/2021 8:53,2,ANG,
1.62841E+12,8/8/2021 8:57,2,ANG,
1.62839E+12,8/8/2021 3:40,2,RXG,
1.62839E+12,8/8/2021 3:44,2,YHG,
1.62839E+12,8/8/2021 3:45,2,RXG,
1.62843E+12,8/8/2021 12:23,2,XMGAS,
1.6284E+12,8/8/2021 6:38,2,AYG,
1.62844E+12,8/8/2021 15:51,1,FHG,
1.62839E+12,8/8/2021 1:14,2,AYG,
1.62842E+12,8/8/2021 10:02,1,FHG,
1.62842E+12,8/8/2021 10:02,1,FHG,
1.62836E+12,8/7/2021 19:02,1,RXG,
1.62842E+12,8/8/2021 11:04,1,HH,JCB
1.6284E+12,8/8/2021 6:14,2,AYG,
1.62839E+12,8/8/2021 1:54,1,YHG,
1.62843E+12,8/8/2021 13:01,1,FHG,
1.62844E+12,8/8/2021 16:35,1,GNIA,
1.62837E+12,8/7/2021 22:06,2,RG,
1.62837E+12,8/7/2021 22:06,2,RG,
1.62837E+12,8/7/2021 22:07,2,RG,
1.62838E+12,8/8/2021 0:57,1,YUG,
1.6284E+12,8/8/2021 4:22,2,AFWG,
1.62842E+12,8/8/2021 11:41,2,RG,
1.62842E+12,8/8/2021 11:42,2,RG,
1.62837E+12,8/7/2021 20:10,1,YHG,
1.62844E+12,8/8/2021 15:48,1,AFWG,
1.62843E+12,8/8/2021 14:30,1,AHG,
1.62839E+12,8/8/2021 3:26,1,GNIA,
1.62841E+12,8/8/2021 9:13,2,RG,
1.62836E+12,8/7/2021 17:32,1,AYG,
1.62839E+12,8/8/2021 3:30,1,HH,Visa
1.62839E+12,8/8/2021 3:30,1,XHG,
1.62843E+12,8/8/2021 14:31,2,GNIA,
1.6284E+12,8/8/2021 4:11,1,YHG,
1.62841E+12,8/8/2021 8:36,2,YHG,
1.62841E+12,8/8/2021 8:37,2,YHG,
1.62843E+12,8/8/2021 14:32,2,XHG,
1.62838E+12,8/8/2021 0:35,2,RG,
1.62844E+12,8/8/2021 16:46,2,RG,
1.6284E+12,8/8/2021 4:45,2,HH,Visa
1.6284E+12,8/8/2021 5:58,1,GNIA,
1.62844E+12,8/8/2021 15:23,1,AFG,
1.62841E+12,8/8/2021 8:22,1,FHG,
1.62843E+12,8/8/2021 12:59,2,AYG,
1.62843E+12,8/8/2021 13:05,2,AYG,
1.62842E+12,8/8/2021 11:10,2,PQG,
1.62842E+12,8/8/2021 11:10,2,AHG,
1.62842E+12,8/8/2021 10:45,1,XHG,
1.62842E+12,8/8/2021 10:45,1,XHG,
1.62839E+12,8/8/2021 1:50,2,IFG,
1.62839E+12,8/8/2021 3:32,2,AYG,
1.62841E+12,8/8/2021 9:19,2,AFWG,
1.62843E+12,8/8/2021 15:00,2,FHG,
1.62843E+12,8/8/2021 15:00,2,FHG,
1.62836E+12,8/7/2021 18:21,2,XHG,
1.62841E+12,8/8/2021 7:37,2,AHG,
1.62841E+12,8/8/2021 7:38,2,AHG,
1.6284E+12,8/8/2021 5:09,1,IFG,
1.62841E+12,8/8/2021 9:00,1,RXG,
1.62838E+12,8/8/2021 0:25,1,YHG,
1.62843E+12,8/8/2021 14:40,2,GNIA,
